Zeit;Verbrauch
2019-10-08 00:00:00;0,0
2019-10-08 01:00:00;0,0
2019-10-08 02:00:00;0,0
2019-10-08 03:00:00;0,0
2019-10-08 04:00:00;0,0
2019-10-08 05:00:00;0,0
2019-10-08 06:00:00;0,0
2019-10-08 07:00:00;0,0
2019-10-08 08:00:00;0,0
2019-10-08 09:00:00;0,595
2019-10-08 10:00:00;0,66
2019-10-08 11:00:00;0,638
2019-10-08 12:00:00;0,546
2019-10-08 13:00:00;0,485
2019-10-08 14:00:00;0,503
2019-10-08 15:00:00;0,563
2019-10-08 16:00:00;0,569
2019-10-08 17:00:00;0,513
2019-10-08 18:00:00;0,376
2019-10-08 19:00:00;0,0
2019-10-08 20:00:00;0,0
2019-10-08 21:00:00;0,0
2019-10-08 22:00:00;0,0
2019-10-08 23:00:00;0,0
