Zeit;Verbrauch
2019-10-28 00:00:00;0,0
2019-10-28 01:00:00;0,0
2019-10-28 02:00:00;0,0
2019-10-28 03:00:00;0,0
2019-10-28 04:00:00;0,0
2019-10-28 05:00:00;0,0
2019-10-28 06:00:00;0,0
2019-10-28 07:00:00;0,0
2019-10-28 08:00:00;0,0
2019-10-28 09:00:00;0,21
2019-10-28 10:00:00;0,233
2019-10-28 11:00:00;0,225
2019-10-28 12:00:00;0,192
2019-10-28 13:00:00;0,171
2019-10-28 14:00:00;0,177
2019-10-28 15:00:00;0,198
2019-10-28 16:00:00;0,2
2019-10-28 17:00:00;0,181
2019-10-28 18:00:00;0,133
2019-10-28 19:00:00;0,0
2019-10-28 20:00:00;0,0
2019-10-28 21:00:00;0,0
2019-10-28 22:00:00;0,0
2019-10-28 23:00:00;0,0
