Zeit;Verbrauch
2019-10-21 00:00:00;0,0
2019-10-21 01:00:00;0,0
2019-10-21 02:00:00;0,0
2019-10-21 03:00:00;0,0
2019-10-21 04:00:00;0,0
2019-10-21 05:00:00;0,0
2019-10-21 06:00:00;0,0
2019-10-21 07:00:00;0,0
2019-10-21 08:00:00;0,0
2019-10-21 09:00:00;0,514
2019-10-21 10:00:00;0,569
2019-10-21 11:00:00;0,551
2019-10-21 12:00:00;0,471
2019-10-21 13:00:00;0,418
2019-10-21 14:00:00;0,434
2019-10-21 15:00:00;0,486
2019-10-21 16:00:00;0,491
2019-10-21 17:00:00;0,443
2019-10-21 18:00:00;0,325
2019-10-21 19:00:00;0,0
2019-10-21 20:00:00;0,0
2019-10-21 21:00:00;0,0
2019-10-21 22:00:00;0,0
2019-10-21 23:00:00;0,0
