Zeit;Verbrauch
2020-01-02 00:00:00;0,0
2020-01-02 01:00:00;0,0
2020-01-02 02:00:00;0,0
2020-01-02 03:00:00;0,0
2020-01-02 04:00:00;0,0
2020-01-02 05:00:00;0,0
2020-01-02 06:00:00;0,0
2020-01-02 07:00:00;0,0
2020-01-02 08:00:00;0,0
2020-01-02 09:00:00;0,138
2020-01-02 10:00:00;0,153
2020-01-02 11:00:00;0,148
2020-01-02 12:00:00;0,126
2020-01-02 13:00:00;0,112
2020-01-02 14:00:00;0,116
2020-01-02 15:00:00;0,13
2020-01-02 16:00:00;0,132
2020-01-02 17:00:00;0,119
2020-01-02 18:00:00;0,087
2020-01-02 19:00:00;0,0
2020-01-02 20:00:00;0,0
2020-01-02 21:00:00;0,0
2020-01-02 22:00:00;0,0
2020-01-02 23:00:00;0,0
