Zeit;Verbrauch
2020-01-15 00:00:00;0,0
2020-01-15 01:00:00;0,0
2020-01-15 02:00:00;0,0
2020-01-15 03:00:00;0,0
2020-01-15 04:00:00;0,0
2020-01-15 05:00:00;0,0
2020-01-15 06:00:00;0,0
2020-01-15 07:00:00;0,0
2020-01-15 08:00:00;0,0
2020-01-15 09:00:00;0,681
2020-01-15 10:00:00;0,755
2020-01-15 11:00:00;0,73
2020-01-15 12:00:00;0,624
2020-01-15 13:00:00;0,555
2020-01-15 14:00:00;0,575
2020-01-15 15:00:00;0,644
2020-01-15 16:00:00;0,651
2020-01-15 17:00:00;0,587
2020-01-15 18:00:00;0,43
2020-01-15 19:00:00;0,0
2020-01-15 20:00:00;0,0
2020-01-15 21:00:00;0,0
2020-01-15 22:00:00;0,0
2020-01-15 23:00:00;0,0
