Zeit;Verbrauch
2018-08-30 00:00:00;0,0
2018-08-30 01:00:00;0,0
2018-08-30 02:00:00;0,0
2018-08-30 03:00:00;0,0
2018-08-30 04:00:00;0,0
2018-08-30 05:00:00;0,0
2018-08-30 06:00:00;0,0
2018-08-30 07:00:00;0,0
2018-08-30 08:00:00;0,0
2018-08-30 09:00:00;0,362
2018-08-30 10:00:00;0,401
2018-08-30 11:00:00;0,388
2018-08-30 12:00:00;0,331
2018-08-30 13:00:00;0,295
2018-08-30 14:00:00;0,305
2018-08-30 15:00:00;0,342
2018-08-30 16:00:00;0,346
2018-08-30 17:00:00;0,312
2018-08-30 18:00:00;0,229
2018-08-30 19:00:00;0,0
2018-08-30 20:00:00;0,0
2018-08-30 21:00:00;0,0
2018-08-30 22:00:00;0,0
2018-08-30 23:00:00;0,0
