Zeit;Verbrauch
2018-08-02 00:00:00;0,0
2018-08-02 01:00:00;0,0
2018-08-02 02:00:00;0,0
2018-08-02 03:00:00;0,0
2018-08-02 04:00:00;0,0
2018-08-02 05:00:00;0,0
2018-08-02 06:00:00;0,0
2018-08-02 07:00:00;0,0
2018-08-02 08:00:00;0,0
2018-08-02 09:00:00;2,521
2018-08-02 10:00:00;2,795
2018-08-02 11:00:00;2,703
2018-08-02 12:00:00;2,31
2018-08-02 13:00:00;2,054
2018-08-02 14:00:00;2,129
2018-08-02 15:00:00;2,384
2018-08-02 16:00:00;2,409
2018-08-02 17:00:00;2,172
2018-08-02 18:00:00;1,594
2018-08-02 19:00:00;0,0
2018-08-02 20:00:00;0,0
2018-08-02 21:00:00;0,0
2018-08-02 22:00:00;0,0
2018-08-02 23:00:00;0,0
