Zeit;Verbrauch
2016-06-01 00:00:00;0,0
2016-06-01 01:00:00;0,0
2016-06-01 02:00:00;0,0
2016-06-01 03:00:00;0,0
2016-06-01 04:00:00;0,0
2016-06-01 05:00:00;0,0
2016-06-01 06:00:00;0,0
2016-06-01 07:00:00;0,0
2016-06-01 08:00:00;0,0
2016-06-01 09:00:00;2,338
2016-06-01 10:00:00;2,593
2016-06-01 11:00:00;2,507
2016-06-01 12:00:00;2,143
2016-06-01 13:00:00;1,905
2016-06-01 14:00:00;1,975
2016-06-01 15:00:00;2,211
2016-06-01 16:00:00;2,235
2016-06-01 17:00:00;2,015
2016-06-01 18:00:00;1,478
2016-06-01 19:00:00;0,0
2016-06-01 20:00:00;0,0
2016-06-01 21:00:00;0,0
2016-06-01 22:00:00;0,0
2016-06-01 23:00:00;0,0
