Zeit;Verbrauch
2016-06-11 00:00:00;0,0
2016-06-11 01:00:00;0,0
2016-06-11 02:00:00;0,0
2016-06-11 03:00:00;0,0
2016-06-11 04:00:00;0,0
2016-06-11 05:00:00;0,0
2016-06-11 06:00:00;0,0
2016-06-11 07:00:00;0,0
2016-06-11 08:00:00;0,0
2016-06-11 09:00:00;1,369
2016-06-11 10:00:00;1,518
2016-06-11 11:00:00;1,468
2016-06-11 12:00:00;1,255
2016-06-11 13:00:00;1,115
2016-06-11 14:00:00;1,156
2016-06-11 15:00:00;1,295
2016-06-11 16:00:00;1,308
2016-06-11 17:00:00;1,18
2016-06-11 18:00:00;0,865
2016-06-11 19:00:00;0,0
2016-06-11 20:00:00;0,0
2016-06-11 21:00:00;0,0
2016-06-11 22:00:00;0,0
2016-06-11 23:00:00;0,0
