Zeit;Verbrauch
2016-06-14 00:00:00;0,0
2016-06-14 01:00:00;0,0
2016-06-14 02:00:00;0,0
2016-06-14 03:00:00;0,0
2016-06-14 04:00:00;0,0
2016-06-14 05:00:00;0,0
2016-06-14 06:00:00;0,0
2016-06-14 07:00:00;0,0
2016-06-14 08:00:00;0,0
2016-06-14 09:00:00;1,331
2016-06-14 10:00:00;1,476
2016-06-14 11:00:00;1,427
2016-06-14 12:00:00;1,22
2016-06-14 13:00:00;1,084
2016-06-14 14:00:00;1,124
2016-06-14 15:00:00;1,259
2016-06-14 16:00:00;1,272
2016-06-14 17:00:00;1,147
2016-06-14 18:00:00;0,841
2016-06-14 19:00:00;0,0
2016-06-14 20:00:00;0,0
2016-06-14 21:00:00;0,0
2016-06-14 22:00:00;0,0
2016-06-14 23:00:00;0,0
