Zeit;Verbrauch
2016-05-11 00:00:00;0,0
2016-05-11 01:00:00;0,0
2016-05-11 02:00:00;0,0
2016-05-11 03:00:00;0,0
2016-05-11 04:00:00;0,0
2016-05-11 05:00:00;0,0
2016-05-11 06:00:00;0,0
2016-05-11 07:00:00;0,0
2016-05-11 08:00:00;0,0
2016-05-11 09:00:00;1,655
2016-05-11 10:00:00;1,836
2016-05-11 11:00:00;1,775
2016-05-11 12:00:00;1,517
2016-05-11 13:00:00;1,349
2016-05-11 14:00:00;1,398
2016-05-11 15:00:00;1,565
2016-05-11 16:00:00;1,582
2016-05-11 17:00:00;1,427
2016-05-11 18:00:00;1,046
2016-05-11 19:00:00;0,0
2016-05-11 20:00:00;0,0
2016-05-11 21:00:00;0,0
2016-05-11 22:00:00;0,0
2016-05-11 23:00:00;0,0
