Zeit;Verbrauch
2019-03-08 00:00:00;0,0
2019-03-08 01:00:00;0,0
2019-03-08 02:00:00;0,0
2019-03-08 03:00:00;0,0
2019-03-08 04:00:00;0,0
2019-03-08 05:00:00;0,0
2019-03-08 06:00:00;0,0
2019-03-08 07:00:00;0,0
2019-03-08 08:00:00;0,0
2019-03-08 09:00:00;0,523
2019-03-08 10:00:00;0,58
2019-03-08 11:00:00;0,561
2019-03-08 12:00:00;0,48
2019-03-08 13:00:00;0,426
2019-03-08 14:00:00;0,442
2019-03-08 15:00:00;0,495
2019-03-08 16:00:00;0,5
2019-03-08 17:00:00;0,451
2019-03-08 18:00:00;0,331
2019-03-08 19:00:00;0,0
2019-03-08 20:00:00;0,0
2019-03-08 21:00:00;0,0
2019-03-08 22:00:00;0,0
2019-03-08 23:00:00;0,0
