Zeit;Verbrauch
2019-03-29 00:00:00;0,0
2019-03-29 01:00:00;0,0
2019-03-29 02:00:00;0,0
2019-03-29 03:00:00;0,0
2019-03-29 04:00:00;0,0
2019-03-29 05:00:00;0,0
2019-03-29 06:00:00;0,0
2019-03-29 07:00:00;0,0
2019-03-29 08:00:00;0,0
2019-03-29 09:00:00;1,931
2019-03-29 10:00:00;2,141
2019-03-29 11:00:00;2,07
2019-03-29 12:00:00;1,769
2019-03-29 13:00:00;1,573
2019-03-29 14:00:00;1,63
2019-03-29 15:00:00;1,826
2019-03-29 16:00:00;1,845
2019-03-29 17:00:00;1,664
2019-03-29 18:00:00;1,221
2019-03-29 19:00:00;0,0
2019-03-29 20:00:00;0,0
2019-03-29 21:00:00;0,0
2019-03-29 22:00:00;0,0
2019-03-29 23:00:00;0,0
