Zeit;Verbrauch
2023-06-07 00:00:00;0,0
2023-06-07 01:00:00;0,0
2023-06-07 02:00:00;0,0
2023-06-07 03:00:00;0,0
2023-06-07 04:00:00;0
2023-06-07 05:00:00;0,13
2023-06-07 06:00:00;0,25
2023-06-07 07:00:00;0,54
2023-06-07 08:00:00;1,58
2023-06-07 09:00:00;1,56
2023-06-07 10:00:00;2,11
2023-06-07 11:00:00;0
2023-06-07 12:00:00;0
2023-06-07 13:00:00;0
2023-06-07 14:00:00;0
2023-06-07 15:00:00;0
2023-06-07 16:00:00;18,016
2023-06-07 17:00:00;0,84
2023-06-07 18:00:00;0,4
2023-06-07 19:00:00;0,1
2023-06-07 20:00:00;0,01
2023-06-07 21:00:00;0,0
2023-06-07 22:00:00;0,0
2023-06-07 23:00:00;0,0
