Zeit;Verbrauch
2015-05-28 00:00:00;0,0
2015-05-28 01:00:00;0,0
2015-05-28 02:00:00;0,0
2015-05-28 03:00:00;0,0
2015-05-28 04:00:00;0,0
2015-05-28 05:00:00;0,0
2015-05-28 06:00:00;0,0
2015-05-28 07:00:00;0,0
2015-05-28 08:00:00;0,0
2015-05-28 09:00:00;2,81
2015-05-28 10:00:00;3,116
2015-05-28 11:00:00;3,013
2015-05-28 12:00:00;2,576
2015-05-28 13:00:00;2,29
2015-05-28 14:00:00;2,373
2015-05-28 15:00:00;2,658
2015-05-28 16:00:00;2,686
2015-05-28 17:00:00;2,422
2015-05-28 18:00:00;1,777
2015-05-28 19:00:00;0,0
2015-05-28 20:00:00;0,0
2015-05-28 21:00:00;0,0
2015-05-28 22:00:00;0,0
2015-05-28 23:00:00;0,0
