Zeit;Verbrauch
2015-03-07 00:00:00;0,0
2015-03-07 01:00:00;0,0
2015-03-07 02:00:00;0,0
2015-03-07 03:00:00;0,0
2015-03-07 04:00:00;0,0
2015-03-07 05:00:00;0,0
2015-03-07 06:00:00;0,0
2015-03-07 07:00:00;0,0
2015-03-07 08:00:00;0,0
2015-03-07 09:00:00;1,6
2015-03-07 10:00:00;1,774
2015-03-07 11:00:00;1,715
2015-03-07 12:00:00;1,466
2015-03-07 13:00:00;1,303
2015-03-07 14:00:00;1,351
2015-03-07 15:00:00;1,513
2015-03-07 16:00:00;1,529
2015-03-07 17:00:00;1,379
2015-03-07 18:00:00;1,011
2015-03-07 19:00:00;0,0
2015-03-07 20:00:00;0,0
2015-03-07 21:00:00;0,0
2015-03-07 22:00:00;0,0
2015-03-07 23:00:00;0,0
