Zeit;Verbrauch
2024-08-04 00:00:00;0,0
2024-08-04 01:00:00;0,0
2024-08-04 02:00:00;0,0
2024-08-04 03:00:00;0,0
2024-08-04 04:00:00;0
2024-08-04 05:00:00;0,102
2024-08-04 06:00:00;0,267
2024-08-04 07:00:00;0,243
2024-08-04 08:00:00;0,693
2024-08-04 09:00:00;1,814
2024-08-04 10:00:00;0
2024-08-04 11:00:00;0,632
2024-08-04 12:00:00;0
2024-08-04 13:00:00;0,475
2024-08-04 14:00:00;0
2024-08-04 15:00:00;0
2024-08-04 16:00:00;0
2024-08-04 17:00:00;0
2024-08-04 18:00:00;0
2024-08-04 19:00:00;21,681
2024-08-04 20:00:00;0,0
2024-08-04 21:00:00;0,0
2024-08-04 22:00:00;0,0
2024-08-04 23:00:00;0,0
