Zeit;Verbrauch
2019-01-07 00:00:00;0,0
2019-01-07 01:00:00;0,0
2019-01-07 02:00:00;0,0
2019-01-07 03:00:00;0,0
2019-01-07 04:00:00;0,0
2019-01-07 05:00:00;0,0
2019-01-07 06:00:00;0,0
2019-01-07 07:00:00;0,0
2019-01-07 08:00:00;0,0
2019-01-07 09:00:00;0,045
2019-01-07 10:00:00;0,05
2019-01-07 11:00:00;0,048
2019-01-07 12:00:00;0,041
2019-01-07 13:00:00;0,036
2019-01-07 14:00:00;0,038
2019-01-07 15:00:00;0,042
2019-01-07 16:00:00;0,043
2019-01-07 17:00:00;0,039
2019-01-07 18:00:00;0,028
2019-01-07 19:00:00;0,0
2019-01-07 20:00:00;0,0
2019-01-07 21:00:00;0,0
2019-01-07 22:00:00;0,0
2019-01-07 23:00:00;0,0
