Zeit;Verbrauch
2025-06-05 00:00:00;0,0
2025-06-05 01:00:00;0,0
2025-06-05 02:00:00;0,0
2025-06-05 03:00:00;0,0
2025-06-05 04:00:00;0
2025-06-05 05:00:00;0,05
2025-06-05 06:00:00;0,688
2025-06-05 07:00:00;0
2025-06-05 08:00:00;0,211
2025-06-05 09:00:00;0,22
2025-06-05 10:00:00;0
2025-06-05 11:00:00;1,255
2025-06-05 12:00:00;0
2025-06-05 13:00:00;0
2025-06-05 14:00:00;0
2025-06-05 15:00:00;0,292
2025-06-05 16:00:00;0,006
2025-06-05 17:00:00;0
2025-06-05 18:00:00;0
2025-06-05 19:00:00;7,775
2025-06-05 20:00:00;0,0
2025-06-05 21:00:00;0,0
2025-06-05 22:00:00;0,0
2025-06-05 23:00:00;0,0
