Zeit;Verbrauch
2026-02-15 00:00:00;0,0
2026-02-15 01:00:00;0,0
2026-02-15 02:00:00;0,0
2026-02-15 03:00:00;0,0
2026-02-15 04:00:00;0,0
2026-02-15 05:00:00;0,0
2026-02-15 06:00:00;0,0
2026-02-15 07:00:00;0
2026-02-15 08:00:00;0,08
2026-02-15 09:00:00;0,36
2026-02-15 10:00:00;0,68
2026-02-15 11:00:00;1,1
2026-02-15 12:00:00;1,72
2026-02-15 13:00:00;1,47
2026-02-15 14:00:00;1,15
2026-02-15 15:00:00;0,39
2026-02-15 16:00:00;0,13
2026-02-15 17:00:00;0,03
2026-02-15 18:00:00;0,0
2026-02-15 19:00:00;0,0
2026-02-15 20:00:00;0,0
2026-02-15 21:00:00;0,0
2026-02-15 22:00:00;0,0
2026-02-15 23:00:00;0,0
