Zeit;Verbrauch
2017-11-24 00:00:00;0,0
2017-11-24 01:00:00;0,0
2017-11-24 02:00:00;0,0
2017-11-24 03:00:00;0,0
2017-11-24 04:00:00;0,0
2017-11-24 05:00:00;0,0
2017-11-24 06:00:00;0,0
2017-11-24 07:00:00;0,0
2017-11-24 08:00:00;0,0
2017-11-24 09:00:00;0,594
2017-11-24 10:00:00;0,659
2017-11-24 11:00:00;0,637
2017-11-24 12:00:00;0,545
2017-11-24 13:00:00;0,484
2017-11-24 14:00:00;0,502
2017-11-24 15:00:00;0,562
2017-11-24 16:00:00;0,568
2017-11-24 17:00:00;0,512
2017-11-24 18:00:00;0,376
2017-11-24 19:00:00;0,0
2017-11-24 20:00:00;0,0
2017-11-24 21:00:00;0,0
2017-11-24 22:00:00;0,0
2017-11-24 23:00:00;0,0
