Zeit;Verbrauch
2014-12-24 00:00:00;0,0
2014-12-24 01:00:00;0,0
2014-12-24 02:00:00;0,0
2014-12-24 03:00:00;0,0
2014-12-24 04:00:00;0,0
2014-12-24 05:00:00;0,0
2014-12-24 06:00:00;0,0
2014-12-24 07:00:00;0,0
2014-12-24 08:00:00;0,0
2014-12-24 09:00:00;0,418
2014-12-24 10:00:00;0,464
2014-12-24 11:00:00;0,449
2014-12-24 12:00:00;0,384
2014-12-24 13:00:00;0,341
2014-12-24 14:00:00;0,353
2014-12-24 15:00:00;0,396
2014-12-24 16:00:00;0,4
2014-12-24 17:00:00;0,361
2014-12-24 18:00:00;0,265
2014-12-24 19:00:00;0,0
2014-12-24 20:00:00;0,0
2014-12-24 21:00:00;0,0
2014-12-24 22:00:00;0,0
2014-12-24 23:00:00;0,0
