Zeit;Verbrauch
2017-10-20 00:00:00;0,0
2017-10-20 01:00:00;0,0
2017-10-20 02:00:00;0,0
2017-10-20 03:00:00;0,0
2017-10-20 04:00:00;0,0
2017-10-20 05:00:00;0,0
2017-10-20 06:00:00;0,0
2017-10-20 07:00:00;0,0
2017-10-20 08:00:00;0,0
2017-10-20 09:00:00;1,097
2017-10-20 10:00:00;1,216
2017-10-20 11:00:00;1,176
2017-10-20 12:00:00;1,005
2017-10-20 13:00:00;0,894
2017-10-20 14:00:00;0,926
2017-10-20 15:00:00;1,037
2017-10-20 16:00:00;1,048
2017-10-20 17:00:00;0,945
2017-10-20 18:00:00;0,694
2017-10-20 19:00:00;0,0
2017-10-20 20:00:00;0,0
2017-10-20 21:00:00;0,0
2017-10-20 22:00:00;0,0
2017-10-20 23:00:00;0,0
