Zeit;Verbrauch
2025-10-08 00:00:00;0,0
2025-10-08 01:00:00;0,0
2025-10-08 02:00:00;0,0
2025-10-08 03:00:00;0,0
2025-10-08 04:00:00;0,0
2025-10-08 05:00:00;0,0
2025-10-08 06:00:00;0
2025-10-08 07:00:00;0,333
2025-10-08 08:00:00;0,317
2025-10-08 09:00:00;0,661
2025-10-08 10:00:00;0,419
2025-10-08 11:00:00;0
2025-10-08 12:00:00;1,095
2025-10-08 13:00:00;0
2025-10-08 14:00:00;0
2025-10-08 15:00:00;0
2025-10-08 16:00:00;0
2025-10-08 17:00:00;10,495
2025-10-08 18:00:00;0,0
2025-10-08 19:00:00;0,0
2025-10-08 20:00:00;0,0
2025-10-08 21:00:00;0,0
2025-10-08 22:00:00;0,0
2025-10-08 23:00:00;0,0
