Zeit;Verbrauch
2019-02-21 00:00:00;0,0
2019-02-21 01:00:00;0,0
2019-02-21 02:00:00;0,0
2019-02-21 03:00:00;0,0
2019-02-21 04:00:00;0,0
2019-02-21 05:00:00;0,0
2019-02-21 06:00:00;0,0
2019-02-21 07:00:00;0,0
2019-02-21 08:00:00;0,0
2019-02-21 09:00:00;1,181
2019-02-21 10:00:00;1,31
2019-02-21 11:00:00;1,266
2019-02-21 12:00:00;1,083
2019-02-21 13:00:00;0,962
2019-02-21 14:00:00;0,997
2019-02-21 15:00:00;1,117
2019-02-21 16:00:00;1,129
2019-02-21 17:00:00;1,018
2019-02-21 18:00:00;0,747
2019-02-21 19:00:00;0,0
2019-02-21 20:00:00;0,0
2019-02-21 21:00:00;0,0
2019-02-21 22:00:00;0,0
2019-02-21 23:00:00;0,0
