Zeit;Verbrauch
2014-08-06 00:00:00;0,0
2014-08-06 01:00:00;0,0
2014-08-06 02:00:00;0,0
2014-08-06 03:00:00;0,0
2014-08-06 04:00:00;0,0
2014-08-06 05:00:00;0,0
2014-08-06 06:00:00;0,0
2014-08-06 07:00:00;0,0
2014-08-06 08:00:00;0,0
2014-08-06 09:00:00;2,705
2014-08-06 10:00:00;3,0
2014-08-06 11:00:00;2,901
2014-08-06 12:00:00;2,48
2014-08-06 13:00:00;2,204
2014-08-06 14:00:00;2,285
2014-08-06 15:00:00;2,558
2014-08-06 16:00:00;2,585
2014-08-06 17:00:00;2,332
2014-08-06 18:00:00;1,71
2014-08-06 19:00:00;0,0
2014-08-06 20:00:00;0,0
2014-08-06 21:00:00;0,0
2014-08-06 22:00:00;0,0
2014-08-06 23:00:00;0,0
