Zeit;Verbrauch
2014-08-12 00:00:00;0,0
2014-08-12 01:00:00;0,0
2014-08-12 02:00:00;0,0
2014-08-12 03:00:00;0,0
2014-08-12 04:00:00;0,0
2014-08-12 05:00:00;0,0
2014-08-12 06:00:00;0,0
2014-08-12 07:00:00;0,0
2014-08-12 08:00:00;0,0
2014-08-12 09:00:00;2,256
2014-08-12 10:00:00;2,502
2014-08-12 11:00:00;2,419
2014-08-12 12:00:00;2,068
2014-08-12 13:00:00;1,838
2014-08-12 14:00:00;1,905
2014-08-12 15:00:00;2,134
2014-08-12 16:00:00;2,156
2014-08-12 17:00:00;1,945
2014-08-12 18:00:00;1,426
2014-08-12 19:00:00;0,0
2014-08-12 20:00:00;0,0
2014-08-12 21:00:00;0,0
2014-08-12 22:00:00;0,0
2014-08-12 23:00:00;0,0
