Zeit;Verbrauch
2014-10-06 00:00:00;0,0
2014-10-06 01:00:00;0,0
2014-10-06 02:00:00;0,0
2014-10-06 03:00:00;0,0
2014-10-06 04:00:00;0,0
2014-10-06 05:00:00;0,0
2014-10-06 06:00:00;0,0
2014-10-06 07:00:00;0,0
2014-10-06 08:00:00;0,0
2014-10-06 09:00:00;1,481
2014-10-06 10:00:00;1,642
2014-10-06 11:00:00;1,587
2014-10-06 12:00:00;1,357
2014-10-06 13:00:00;1,206
2014-10-06 14:00:00;1,25
2014-10-06 15:00:00;1,4
2014-10-06 16:00:00;1,415
2014-10-06 17:00:00;1,276
2014-10-06 18:00:00;0,936
2014-10-06 19:00:00;0,0
2014-10-06 20:00:00;0,0
2014-10-06 21:00:00;0,0
2014-10-06 22:00:00;0,0
2014-10-06 23:00:00;0,0
