Zeit;Verbrauch
2025-02-21 00:00:00;0,0
2025-02-21 01:00:00;0,0
2025-02-21 02:00:00;0,0
2025-02-21 03:00:00;0,0
2025-02-21 04:00:00;0,0
2025-02-21 05:00:00;0,0
2025-02-21 06:00:00;0
2025-02-21 07:00:00;0
2025-02-21 08:00:00;0,31
2025-02-21 09:00:00;0,67
2025-02-21 10:00:00;1,03
2025-02-21 11:00:00;1,39
2025-02-21 12:00:00;1,94
2025-02-21 13:00:00;1,86
2025-02-21 14:00:00;1,3
2025-02-21 15:00:00;1,11
2025-02-21 16:00:00;0,23
2025-02-21 17:00:00;0,04
2025-02-21 18:00:00;0,0
2025-02-21 19:00:00;0,0
2025-02-21 20:00:00;0,0
2025-02-21 21:00:00;0,0
2025-02-21 22:00:00;0,0
2025-02-21 23:00:00;0,0
