Zeit;Verbrauch
2020-02-24 00:00:00;0,0
2020-02-24 01:00:00;0,0
2020-02-24 02:00:00;0,0
2020-02-24 03:00:00;0,0
2020-02-24 04:00:00;0,0
2020-02-24 05:00:00;0,0
2020-02-24 06:00:00;0,0
2020-02-24 07:00:00;0,0
2020-02-24 08:00:00;0,0
2020-02-24 09:00:00;0,865
2020-02-24 10:00:00;0,96
2020-02-24 11:00:00;0,928
2020-02-24 12:00:00;0,793
2020-02-24 13:00:00;0,705
2020-02-24 14:00:00;0,731
2020-02-24 15:00:00;0,818
2020-02-24 16:00:00;0,827
2020-02-24 17:00:00;0,746
2020-02-24 18:00:00;0,547
2020-02-24 19:00:00;0,0
2020-02-24 20:00:00;0,0
2020-02-24 21:00:00;0,0
2020-02-24 22:00:00;0,0
2020-02-24 23:00:00;0,0
