Zeit;Verbrauch
2016-07-01 00:00:00;0,0
2016-07-01 01:00:00;0,0
2016-07-01 02:00:00;0,0
2016-07-01 03:00:00;0,0
2016-07-01 04:00:00;0,0
2016-07-01 05:00:00;0,0
2016-07-01 06:00:00;0,0
2016-07-01 07:00:00;0,0
2016-07-01 08:00:00;0,0
2016-07-01 09:00:00;2,68
2016-07-01 10:00:00;2,972
2016-07-01 11:00:00;2,874
2016-07-01 12:00:00;2,456
2016-07-01 13:00:00;2,184
2016-07-01 14:00:00;2,263
2016-07-01 15:00:00;2,535
2016-07-01 16:00:00;2,561
2016-07-01 17:00:00;2,31
2016-07-01 18:00:00;1,694
2016-07-01 19:00:00;0,0
2016-07-01 20:00:00;0,0
2016-07-01 21:00:00;0,0
2016-07-01 22:00:00;0,0
2016-07-01 23:00:00;0,0
