Zeit;Verbrauch
2018-06-04 00:00:00;0,0
2018-06-04 01:00:00;0,0
2018-06-04 02:00:00;0,0
2018-06-04 03:00:00;0,0
2018-06-04 04:00:00;0,0
2018-06-04 05:00:00;0,0
2018-06-04 06:00:00;0,0
2018-06-04 07:00:00;0,0
2018-06-04 08:00:00;0,0
2018-06-04 09:00:00;1,695
2018-06-04 10:00:00;1,879
2018-06-04 11:00:00;1,817
2018-06-04 12:00:00;1,553
2018-06-04 13:00:00;1,381
2018-06-04 14:00:00;1,431
2018-06-04 15:00:00;1,603
2018-06-04 16:00:00;1,62
2018-06-04 17:00:00;1,461
2018-06-04 18:00:00;1,071
2018-06-04 19:00:00;0,0
2018-06-04 20:00:00;0,0
2018-06-04 21:00:00;0,0
2018-06-04 22:00:00;0,0
2018-06-04 23:00:00;0,0
