Zeit;Verbrauch
2018-06-10 00:00:00;0,0
2018-06-10 01:00:00;0,0
2018-06-10 02:00:00;0,0
2018-06-10 03:00:00;0,0
2018-06-10 04:00:00;0,0
2018-06-10 05:00:00;0,0
2018-06-10 06:00:00;0,0
2018-06-10 07:00:00;0,0
2018-06-10 08:00:00;0,0
2018-06-10 09:00:00;2,184
2018-06-10 10:00:00;2,422
2018-06-10 11:00:00;2,342
2018-06-10 12:00:00;2,002
2018-06-10 13:00:00;1,78
2018-06-10 14:00:00;1,845
2018-06-10 15:00:00;2,065
2018-06-10 16:00:00;2,087
2018-06-10 17:00:00;1,882
2018-06-10 18:00:00;1,381
2018-06-10 19:00:00;0,0
2018-06-10 20:00:00;0,0
2018-06-10 21:00:00;0,0
2018-06-10 22:00:00;0,0
2018-06-10 23:00:00;0,0
