Zeit;Verbrauch
2016-12-05 00:00:00;0,0
2016-12-05 01:00:00;0,0
2016-12-05 02:00:00;0,0
2016-12-05 03:00:00;0,0
2016-12-05 04:00:00;0,0
2016-12-05 05:00:00;0,0
2016-12-05 06:00:00;0,0
2016-12-05 07:00:00;0,0
2016-12-05 08:00:00;0,0
2016-12-05 09:00:00;0,283
2016-12-05 10:00:00;0,314
2016-12-05 11:00:00;0,303
2016-12-05 12:00:00;0,259
2016-12-05 13:00:00;0,231
2016-12-05 14:00:00;0,239
2016-12-05 15:00:00;0,268
2016-12-05 16:00:00;0,27
2016-12-05 17:00:00;0,244
2016-12-05 18:00:00;0,179
2016-12-05 19:00:00;0,0
2016-12-05 20:00:00;0,0
2016-12-05 21:00:00;0,0
2016-12-05 22:00:00;0,0
2016-12-05 23:00:00;0,0
