Zeit;Verbrauch
2017-02-27 00:00:00;0,0
2017-02-27 01:00:00;0,0
2017-02-27 02:00:00;0,0
2017-02-27 03:00:00;0,0
2017-02-27 04:00:00;0,0
2017-02-27 05:00:00;0,0
2017-02-27 06:00:00;0,0
2017-02-27 07:00:00;0,0
2017-02-27 08:00:00;0,0
2017-02-27 09:00:00;1,375
2017-02-27 10:00:00;1,524
2017-02-27 11:00:00;1,474
2017-02-27 12:00:00;1,26
2017-02-27 13:00:00;1,12
2017-02-27 14:00:00;1,161
2017-02-27 15:00:00;1,3
2017-02-27 16:00:00;1,314
2017-02-27 17:00:00;1,185
2017-02-27 18:00:00;0,869
2017-02-27 19:00:00;0,0
2017-02-27 20:00:00;0,0
2017-02-27 21:00:00;0,0
2017-02-27 22:00:00;0,0
2017-02-27 23:00:00;0,0
