Zeit;Verbrauch
2017-02-20 00:00:00;0,0
2017-02-20 01:00:00;0,0
2017-02-20 02:00:00;0,0
2017-02-20 03:00:00;0,0
2017-02-20 04:00:00;0,0
2017-02-20 05:00:00;0,0
2017-02-20 06:00:00;0,0
2017-02-20 07:00:00;0,0
2017-02-20 08:00:00;0,0
2017-02-20 09:00:00;0,839
2017-02-20 10:00:00;0,93
2017-02-20 11:00:00;0,9
2017-02-20 12:00:00;0,769
2017-02-20 13:00:00;0,684
2017-02-20 14:00:00;0,709
2017-02-20 15:00:00;0,794
2017-02-20 16:00:00;0,802
2017-02-20 17:00:00;0,723
2017-02-20 18:00:00;0,53
2017-02-20 19:00:00;0,0
2017-02-20 20:00:00;0,0
2017-02-20 21:00:00;0,0
2017-02-20 22:00:00;0,0
2017-02-20 23:00:00;0,0
