Zeit;Verbrauch
2013-08-12 00:00:00;0,0
2013-08-12 01:00:00;0,0
2013-08-12 02:00:00;0,0
2013-08-12 03:00:00;0,0
2013-08-12 04:00:00;0,0
2013-08-12 05:00:00;0,0
2013-08-12 06:00:00;0,0
2013-08-12 07:00:00;0,0
2013-08-12 08:00:00;0,0
2013-08-12 09:00:00;2,557
2013-08-12 10:00:00;2,835
2013-08-12 11:00:00;2,741
2013-08-12 12:00:00;2,343
2013-08-12 13:00:00;2,083
2013-08-12 14:00:00;2,159
2013-08-12 15:00:00;2,418
2013-08-12 16:00:00;2,443
2013-08-12 17:00:00;2,204
2013-08-12 18:00:00;1,616
2013-08-12 19:00:00;0,0
2013-08-12 20:00:00;0,0
2013-08-12 21:00:00;0,0
2013-08-12 22:00:00;0,0
2013-08-12 23:00:00;0,0
