Zeit;Verbrauch
2019-04-05 00:00:00;0,0
2019-04-05 01:00:00;0,0
2019-04-05 02:00:00;0,0
2019-04-05 03:00:00;0,0
2019-04-05 04:00:00;0,0
2019-04-05 05:00:00;0,0
2019-04-05 06:00:00;0,0
2019-04-05 07:00:00;0,0
2019-04-05 08:00:00;0,0
2019-04-05 09:00:00;1,913
2019-04-05 10:00:00;2,121
2019-04-05 11:00:00;2,051
2019-04-05 12:00:00;1,753
2019-04-05 13:00:00;1,559
2019-04-05 14:00:00;1,616
2019-04-05 15:00:00;1,809
2019-04-05 16:00:00;1,828
2019-04-05 17:00:00;1,649
2019-04-05 18:00:00;1,209
2019-04-05 19:00:00;0,0
2019-04-05 20:00:00;0,0
2019-04-05 21:00:00;0,0
2019-04-05 22:00:00;0,0
2019-04-05 23:00:00;0,0
