Zeit;Verbrauch
2019-08-13 00:00:00;0,0
2019-08-13 01:00:00;0,0
2019-08-13 02:00:00;0,0
2019-08-13 03:00:00;0,0
2019-08-13 04:00:00;0,0
2019-08-13 05:00:00;0,0
2019-08-13 06:00:00;0,0
2019-08-13 07:00:00;0,0
2019-08-13 08:00:00;0,0
2019-08-13 09:00:00;1,338
2019-08-13 10:00:00;1,484
2019-08-13 11:00:00;1,435
2019-08-13 12:00:00;1,227
2019-08-13 13:00:00;1,091
2019-08-13 14:00:00;1,13
2019-08-13 15:00:00;1,266
2019-08-13 16:00:00;1,279
2019-08-13 17:00:00;1,154
2019-08-13 18:00:00;0,846
2019-08-13 19:00:00;0,0
2019-08-13 20:00:00;0,0
2019-08-13 21:00:00;0,0
2019-08-13 22:00:00;0,0
2019-08-13 23:00:00;0,0
