Zeit;Verbrauch
2020-07-27 00:00:00;0,0
2020-07-27 01:00:00;0,0
2020-07-27 02:00:00;0,0
2020-07-27 03:00:00;0,0
2020-07-27 04:00:00;0,0
2020-07-27 05:00:00;0,0
2020-07-27 06:00:00;0,0
2020-07-27 07:00:00;0,0
2020-07-27 08:00:00;0,0
2020-07-27 09:00:00;2,001
2020-07-27 10:00:00;2,218
2020-07-27 11:00:00;2,145
2020-07-27 12:00:00;1,834
2020-07-27 13:00:00;1,63
2020-07-27 14:00:00;1,69
2020-07-27 15:00:00;1,892
2020-07-27 16:00:00;1,912
2020-07-27 17:00:00;1,724
2020-07-27 18:00:00;1,265
2020-07-27 19:00:00;0,0
2020-07-27 20:00:00;0,0
2020-07-27 21:00:00;0,0
2020-07-27 22:00:00;0,0
2020-07-27 23:00:00;0,0
