Zeit;Verbrauch
2020-07-04 00:00:00;0,0
2020-07-04 01:00:00;0,0
2020-07-04 02:00:00;0,0
2020-07-04 03:00:00;0,0
2020-07-04 04:00:00;0,0
2020-07-04 05:00:00;0,0
2020-07-04 06:00:00;0,0
2020-07-04 07:00:00;0,0
2020-07-04 08:00:00;0,0
2020-07-04 09:00:00;2,638
2020-07-04 10:00:00;2,925
2020-07-04 11:00:00;2,828
2020-07-04 12:00:00;2,417
2020-07-04 13:00:00;2,149
2020-07-04 14:00:00;2,228
2020-07-04 15:00:00;2,494
2020-07-04 16:00:00;2,521
2020-07-04 17:00:00;2,273
2020-07-04 18:00:00;1,667
2020-07-04 19:00:00;0,0
2020-07-04 20:00:00;0,0
2020-07-04 21:00:00;0,0
2020-07-04 22:00:00;0,0
2020-07-04 23:00:00;0,0
