Zeit;Verbrauch
2020-07-01 00:00:00;0,0
2020-07-01 01:00:00;0,0
2020-07-01 02:00:00;0,0
2020-07-01 03:00:00;0,0
2020-07-01 04:00:00;0,0
2020-07-01 05:00:00;0,0
2020-07-01 06:00:00;0,0
2020-07-01 07:00:00;0,0
2020-07-01 08:00:00;0,0
2020-07-01 09:00:00;2,148
2020-07-01 10:00:00;2,382
2020-07-01 11:00:00;2,303
2020-07-01 12:00:00;1,969
2020-07-01 13:00:00;1,75
2020-07-01 14:00:00;1,814
2020-07-01 15:00:00;2,031
2020-07-01 16:00:00;2,053
2020-07-01 17:00:00;1,851
2020-07-01 18:00:00;1,358
2020-07-01 19:00:00;0,0
2020-07-01 20:00:00;0,0
2020-07-01 21:00:00;0,0
2020-07-01 22:00:00;0,0
2020-07-01 23:00:00;0,0
