Zeit;Verbrauch
2020-07-14 00:00:00;0,0
2020-07-14 01:00:00;0,0
2020-07-14 02:00:00;0,0
2020-07-14 03:00:00;0,0
2020-07-14 04:00:00;0,0
2020-07-14 05:00:00;0,0
2020-07-14 06:00:00;0,0
2020-07-14 07:00:00;0,0
2020-07-14 08:00:00;0,0
2020-07-14 09:00:00;2,681
2020-07-14 10:00:00;2,973
2020-07-14 11:00:00;2,875
2020-07-14 12:00:00;2,457
2020-07-14 13:00:00;2,185
2020-07-14 14:00:00;2,264
2020-07-14 15:00:00;2,536
2020-07-14 16:00:00;2,562
2020-07-14 17:00:00;2,311
2020-07-14 18:00:00;1,695
2020-07-14 19:00:00;0,0
2020-07-14 20:00:00;0,0
2020-07-14 21:00:00;0,0
2020-07-14 22:00:00;0,0
2020-07-14 23:00:00;0,0
