Zeit;Verbrauch
2017-03-31 00:00:00;0,0
2017-03-31 01:00:00;0,0
2017-03-31 02:00:00;0,0
2017-03-31 03:00:00;0,0
2017-03-31 04:00:00;0,0
2017-03-31 05:00:00;0,0
2017-03-31 06:00:00;0,0
2017-03-31 07:00:00;0,0
2017-03-31 08:00:00;0,0
2017-03-31 09:00:00;1,814
2017-03-31 10:00:00;2,011
2017-03-31 11:00:00;1,945
2017-03-31 12:00:00;1,662
2017-03-31 13:00:00;1,478
2017-03-31 14:00:00;1,532
2017-03-31 15:00:00;1,715
2017-03-31 16:00:00;1,733
2017-03-31 17:00:00;1,563
2017-03-31 18:00:00;1,147
2017-03-31 19:00:00;0,0
2017-03-31 20:00:00;0,0
2017-03-31 21:00:00;0,0
2017-03-31 22:00:00;0,0
2017-03-31 23:00:00;0,0
