Zeit;Verbrauch
2017-03-06 00:00:00;0,0
2017-03-06 01:00:00;0,0
2017-03-06 02:00:00;0,0
2017-03-06 03:00:00;0,0
2017-03-06 04:00:00;0,0
2017-03-06 05:00:00;0,0
2017-03-06 06:00:00;0,0
2017-03-06 07:00:00;0,0
2017-03-06 08:00:00;0,0
2017-03-06 09:00:00;0,693
2017-03-06 10:00:00;0,768
2017-03-06 11:00:00;0,743
2017-03-06 12:00:00;0,635
2017-03-06 13:00:00;0,564
2017-03-06 14:00:00;0,585
2017-03-06 15:00:00;0,655
2017-03-06 16:00:00;0,662
2017-03-06 17:00:00;0,597
2017-03-06 18:00:00;0,438
2017-03-06 19:00:00;0,0
2017-03-06 20:00:00;0,0
2017-03-06 21:00:00;0,0
2017-03-06 22:00:00;0,0
2017-03-06 23:00:00;0,0
