Zeit;Verbrauch
2014-03-11 00:00:00;0,0
2014-03-11 01:00:00;0,0
2014-03-11 02:00:00;0,0
2014-03-11 03:00:00;0,0
2014-03-11 04:00:00;0,0
2014-03-11 05:00:00;0,0
2014-03-11 06:00:00;0,0
2014-03-11 07:00:00;0,0
2014-03-11 08:00:00;0,0
2014-03-11 09:00:00;1,467
2014-03-11 10:00:00;1,627
2014-03-11 11:00:00;1,573
2014-03-11 12:00:00;1,345
2014-03-11 13:00:00;1,196
2014-03-11 14:00:00;1,239
2014-03-11 15:00:00;1,388
2014-03-11 16:00:00;1,402
2014-03-11 17:00:00;1,265
2014-03-11 18:00:00;0,928
2014-03-11 19:00:00;0,0
2014-03-11 20:00:00;0,0
2014-03-11 21:00:00;0,0
2014-03-11 22:00:00;0,0
2014-03-11 23:00:00;0,0
