Zeit;Verbrauch
2017-07-03 00:00:00;0,0
2017-07-03 01:00:00;0,0
2017-07-03 02:00:00;0,0
2017-07-03 03:00:00;0,0
2017-07-03 04:00:00;0,0
2017-07-03 05:00:00;0,0
2017-07-03 06:00:00;0,0
2017-07-03 07:00:00;0,0
2017-07-03 08:00:00;0,0
2017-07-03 09:00:00;2,069
2017-07-03 10:00:00;2,295
2017-07-03 11:00:00;2,219
2017-07-03 12:00:00;1,897
2017-07-03 13:00:00;1,686
2017-07-03 14:00:00;1,748
2017-07-03 15:00:00;1,957
2017-07-03 16:00:00;1,978
2017-07-03 17:00:00;1,784
2017-07-03 18:00:00;1,308
2017-07-03 19:00:00;0,0
2017-07-03 20:00:00;0,0
2017-07-03 21:00:00;0,0
2017-07-03 22:00:00;0,0
2017-07-03 23:00:00;0,0
