Zeit;Verbrauch
2017-07-17 00:00:00;0,0
2017-07-17 01:00:00;0,0
2017-07-17 02:00:00;0,0
2017-07-17 03:00:00;0,0
2017-07-17 04:00:00;0,0
2017-07-17 05:00:00;0,0
2017-07-17 06:00:00;0,0
2017-07-17 07:00:00;0,0
2017-07-17 08:00:00;0,0
2017-07-17 09:00:00;2,24
2017-07-17 10:00:00;2,484
2017-07-17 11:00:00;2,402
2017-07-17 12:00:00;2,053
2017-07-17 13:00:00;1,825
2017-07-17 14:00:00;1,892
2017-07-17 15:00:00;2,118
2017-07-17 16:00:00;2,141
2017-07-17 17:00:00;1,93
2017-07-17 18:00:00;1,416
2017-07-17 19:00:00;0,0
2017-07-17 20:00:00;0,0
2017-07-17 21:00:00;0,0
2017-07-17 22:00:00;0,0
2017-07-17 23:00:00;0,0
