Zeit;Verbrauch
2021-07-19 00:00:00;0,0
2021-07-19 01:00:00;0,0
2021-07-19 02:00:00;0,0
2021-07-19 03:00:00;0,0
2021-07-19 04:00:00;0,0
2021-07-19 05:00:00;0,0
2021-07-19 06:00:00;0,0
2021-07-19 07:00:00;0,0
2021-07-19 08:00:00;0,0
2021-07-19 09:00:00;2,207
2021-07-19 10:00:00;2,447
2021-07-19 11:00:00;2,367
2021-07-19 12:00:00;2,023
2021-07-19 13:00:00;1,798
2021-07-19 14:00:00;1,864
2021-07-19 15:00:00;2,087
2021-07-19 16:00:00;2,109
2021-07-19 17:00:00;1,902
2021-07-19 18:00:00;1,395
2021-07-19 19:00:00;0,0
2021-07-19 20:00:00;0,0
2021-07-19 21:00:00;0,0
2021-07-19 22:00:00;0,0
2021-07-19 23:00:00;0,0
