Zeit;Verbrauch
2016-02-08 00:00:00;0,0
2016-02-08 01:00:00;0,0
2016-02-08 02:00:00;0,0
2016-02-08 03:00:00;0,0
2016-02-08 04:00:00;0,0
2016-02-08 05:00:00;0,0
2016-02-08 06:00:00;0,0
2016-02-08 07:00:00;0,0
2016-02-08 08:00:00;0,0
2016-02-08 09:00:00;0,909
2016-02-08 10:00:00;1,008
2016-02-08 11:00:00;0,975
2016-02-08 12:00:00;0,833
2016-02-08 13:00:00;0,741
2016-02-08 14:00:00;0,768
2016-02-08 15:00:00;0,86
2016-02-08 16:00:00;0,869
2016-02-08 17:00:00;0,783
2016-02-08 18:00:00;0,575
2016-02-08 19:00:00;0,0
2016-02-08 20:00:00;0,0
2016-02-08 21:00:00;0,0
2016-02-08 22:00:00;0,0
2016-02-08 23:00:00;0,0
