Zeit;Verbrauch
2022-01-18 00:00:00;0,0
2022-01-18 01:00:00;0,0
2022-01-18 02:00:00;0,0
2022-01-18 03:00:00;0,0
2022-01-18 04:00:00;0,0
2022-01-18 05:00:00;0,0
2022-01-18 06:00:00;0,0
2022-01-18 07:00:00;0,0
2022-01-18 08:00:00;0,0
2022-01-18 09:00:00;0,7
2022-01-18 10:00:00;0,777
2022-01-18 11:00:00;0,751
2022-01-18 12:00:00;0,642
2022-01-18 13:00:00;0,571
2022-01-18 14:00:00;0,591
2022-01-18 15:00:00;0,662
2022-01-18 16:00:00;0,669
2022-01-18 17:00:00;0,604
2022-01-18 18:00:00;0,443
2022-01-18 19:00:00;0,0
2022-01-18 20:00:00;0,0
2022-01-18 21:00:00;0,0
2022-01-18 22:00:00;0,0
2022-01-18 23:00:00;0,0
