Zeit;Verbrauch
2019-07-30 00:00:00;0,0
2019-07-30 01:00:00;0,0
2019-07-30 02:00:00;0,0
2019-07-30 03:00:00;0,0
2019-07-30 04:00:00;0,0
2019-07-30 05:00:00;0,0
2019-07-30 06:00:00;0,0
2019-07-30 07:00:00;0,0
2019-07-30 08:00:00;0,0
2019-07-30 09:00:00;2,528
2019-07-30 10:00:00;2,804
2019-07-30 11:00:00;2,711
2019-07-30 12:00:00;2,317
2019-07-30 13:00:00;2,06
2019-07-30 14:00:00;2,135
2019-07-30 15:00:00;2,391
2019-07-30 16:00:00;2,416
2019-07-30 17:00:00;2,179
2019-07-30 18:00:00;1,598
2019-07-30 19:00:00;0,0
2019-07-30 20:00:00;0,0
2019-07-30 21:00:00;0,0
2019-07-30 22:00:00;0,0
2019-07-30 23:00:00;0,0
