Zeit;Verbrauch
2015-06-02 00:00:00;0,0
2015-06-02 01:00:00;0,0
2015-06-02 02:00:00;0,0
2015-06-02 03:00:00;0,0
2015-06-02 04:00:00;0,0
2015-06-02 05:00:00;0,0
2015-06-02 06:00:00;0,0
2015-06-02 07:00:00;0,0
2015-06-02 08:00:00;0,0
2015-06-02 09:00:00;2,625
2015-06-02 10:00:00;2,91
2015-06-02 11:00:00;2,814
2015-06-02 12:00:00;2,405
2015-06-02 13:00:00;2,138
2015-06-02 14:00:00;2,216
2015-06-02 15:00:00;2,482
2015-06-02 16:00:00;2,508
2015-06-02 17:00:00;2,262
2015-06-02 18:00:00;1,659
2015-06-02 19:00:00;0,0
2015-06-02 20:00:00;0,0
2015-06-02 21:00:00;0,0
2015-06-02 22:00:00;0,0
2015-06-02 23:00:00;0,0
