Zeit;Verbrauch
2013-10-28 00:00:00;0,0
2013-10-28 01:00:00;0,0
2013-10-28 02:00:00;0,0
2013-10-28 03:00:00;0,0
2013-10-28 04:00:00;0,0
2013-10-28 05:00:00;0,0
2013-10-28 06:00:00;0,0
2013-10-28 07:00:00;0,0
2013-10-28 08:00:00;0,0
2013-10-28 09:00:00;1,117
2013-10-28 10:00:00;1,238
2013-10-28 11:00:00;1,197
2013-10-28 12:00:00;1,023
2013-10-28 13:00:00;0,91
2013-10-28 14:00:00;0,943
2013-10-28 15:00:00;1,056
2013-10-28 16:00:00;1,067
2013-10-28 17:00:00;0,962
2013-10-28 18:00:00;0,706
2013-10-28 19:00:00;0,0
2013-10-28 20:00:00;0,0
2013-10-28 21:00:00;0,0
2013-10-28 22:00:00;0,0
2013-10-28 23:00:00;0,0
