Zeit;Verbrauch
2015-09-07 00:00:00;0,0
2015-09-07 01:00:00;0,0
2015-09-07 02:00:00;0,0
2015-09-07 03:00:00;0,0
2015-09-07 04:00:00;0,0
2015-09-07 05:00:00;0,0
2015-09-07 06:00:00;0,0
2015-09-07 07:00:00;0,0
2015-09-07 08:00:00;0,0
2015-09-07 09:00:00;2,102
2015-09-07 10:00:00;2,331
2015-09-07 11:00:00;2,254
2015-09-07 12:00:00;1,927
2015-09-07 13:00:00;1,713
2015-09-07 14:00:00;1,775
2015-09-07 15:00:00;1,988
2015-09-07 16:00:00;2,009
2015-09-07 17:00:00;1,812
2015-09-07 18:00:00;1,329
2015-09-07 19:00:00;0,0
2015-09-07 20:00:00;0,0
2015-09-07 21:00:00;0,0
2015-09-07 22:00:00;0,0
2015-09-07 23:00:00;0,0
