Zeit;Verbrauch
2019-12-18 00:00:00;0,0
2019-12-18 01:00:00;0,0
2019-12-18 02:00:00;0,0
2019-12-18 03:00:00;0,0
2019-12-18 04:00:00;0,0
2019-12-18 05:00:00;0,0
2019-12-18 06:00:00;0,0
2019-12-18 07:00:00;0,0
2019-12-18 08:00:00;0,0
2019-12-18 09:00:00;0,317
2019-12-18 10:00:00;0,351
2019-12-18 11:00:00;0,34
2019-12-18 12:00:00;0,29
2019-12-18 13:00:00;0,258
2019-12-18 14:00:00;0,268
2019-12-18 15:00:00;0,3
2019-12-18 16:00:00;0,303
2019-12-18 17:00:00;0,273
2019-12-18 18:00:00;0,2
2019-12-18 19:00:00;0,0
2019-12-18 20:00:00;0,0
2019-12-18 21:00:00;0,0
2019-12-18 22:00:00;0,0
2019-12-18 23:00:00;0,0
