Zeit;Verbrauch
2016-03-16 00:00:00;0,0
2016-03-16 01:00:00;0,0
2016-03-16 02:00:00;0,0
2016-03-16 03:00:00;0,0
2016-03-16 04:00:00;0,0
2016-03-16 05:00:00;0,0
2016-03-16 06:00:00;0,0
2016-03-16 07:00:00;0,0
2016-03-16 08:00:00;0,0
2016-03-16 09:00:00;1,625
2016-03-16 10:00:00;1,802
2016-03-16 11:00:00;1,742
2016-03-16 12:00:00;1,489
2016-03-16 13:00:00;1,324
2016-03-16 14:00:00;1,372
2016-03-16 15:00:00;1,536
2016-03-16 16:00:00;1,553
2016-03-16 17:00:00;1,4
2016-03-16 18:00:00;1,027
2016-03-16 19:00:00;0,0
2016-03-16 20:00:00;0,0
2016-03-16 21:00:00;0,0
2016-03-16 22:00:00;0,0
2016-03-16 23:00:00;0,0
