Zeit;Verbrauch
2017-04-15 00:00:00;0,0
2017-04-15 01:00:00;0,0
2017-04-15 02:00:00;0,0
2017-04-15 03:00:00;0,0
2017-04-15 04:00:00;0,0
2017-04-15 05:00:00;0,0
2017-04-15 06:00:00;0,0
2017-04-15 07:00:00;0,0
2017-04-15 08:00:00;0,0
2017-04-15 09:00:00;0,873
2017-04-15 10:00:00;0,968
2017-04-15 11:00:00;0,936
2017-04-15 12:00:00;0,8
2017-04-15 13:00:00;0,711
2017-04-15 14:00:00;0,737
2017-04-15 15:00:00;0,826
2017-04-15 16:00:00;0,834
2017-04-15 17:00:00;0,752
2017-04-15 18:00:00;0,552
2017-04-15 19:00:00;0,0
2017-04-15 20:00:00;0,0
2017-04-15 21:00:00;0,0
2017-04-15 22:00:00;0,0
2017-04-15 23:00:00;0,0
