Zeit;Verbrauch
2023-07-17 00:00:00;0,0
2023-07-17 01:00:00;0,0
2023-07-17 02:00:00;0,0
2023-07-17 03:00:00;0,0
2023-07-17 04:00:00;0
2023-07-17 05:00:00;0,044
2023-07-17 06:00:00;0,28
2023-07-17 07:00:00;0,485
2023-07-17 08:00:00;2,198
2023-07-17 09:00:00;0
2023-07-17 10:00:00;0
2023-07-17 11:00:00;0
2023-07-17 12:00:00;1,609
2023-07-17 13:00:00;0
2023-07-17 14:00:00;0
2023-07-17 15:00:00;0
2023-07-17 16:00:00;0
2023-07-17 17:00:00;0
2023-07-17 18:00:00;0
2023-07-17 19:00:00;20,882
2023-07-17 20:00:00;0,0
2023-07-17 21:00:00;0,0
2023-07-17 22:00:00;0,0
2023-07-17 23:00:00;0,0
