Zeit;Verbrauch
2020-05-18 00:00:00;0,0
2020-05-18 01:00:00;0,0
2020-05-18 02:00:00;0,0
2020-05-18 03:00:00;0,0
2020-05-18 04:00:00;0,0
2020-05-18 05:00:00;0,0
2020-05-18 06:00:00;0,0
2020-05-18 07:00:00;0,0
2020-05-18 08:00:00;0,0
2020-05-18 09:00:00;2,237
2020-05-18 10:00:00;2,48
2020-05-18 11:00:00;2,398
2020-05-18 12:00:00;2,05
2020-05-18 13:00:00;1,822
2020-05-18 14:00:00;1,889
2020-05-18 15:00:00;2,115
2020-05-18 16:00:00;2,137
2020-05-18 17:00:00;1,928
2020-05-18 18:00:00;1,414
2020-05-18 19:00:00;0,0
2020-05-18 20:00:00;0,0
2020-05-18 21:00:00;0,0
2020-05-18 22:00:00;0,0
2020-05-18 23:00:00;0,0
