Zeit;Verbrauch
2020-05-13 00:00:00;0,0
2020-05-13 01:00:00;0,0
2020-05-13 02:00:00;0,0
2020-05-13 03:00:00;0,0
2020-05-13 04:00:00;0,0
2020-05-13 05:00:00;0,0
2020-05-13 06:00:00;0,0
2020-05-13 07:00:00;0,0
2020-05-13 08:00:00;0,0
2020-05-13 09:00:00;0,721
2020-05-13 10:00:00;0,8
2020-05-13 11:00:00;0,773
2020-05-13 12:00:00;0,661
2020-05-13 13:00:00;0,588
2020-05-13 14:00:00;0,609
2020-05-13 15:00:00;0,682
2020-05-13 16:00:00;0,689
2020-05-13 17:00:00;0,622
2020-05-13 18:00:00;0,456
2020-05-13 19:00:00;0,0
2020-05-13 20:00:00;0,0
2020-05-13 21:00:00;0,0
2020-05-13 22:00:00;0,0
2020-05-13 23:00:00;0,0
