Zeit;Verbrauch
2016-01-17 00:00:00;0,0
2016-01-17 01:00:00;0,0
2016-01-17 02:00:00;0,0
2016-01-17 03:00:00;0,0
2016-01-17 04:00:00;0,0
2016-01-17 05:00:00;0,0
2016-01-17 06:00:00;0,0
2016-01-17 07:00:00;0,0
2016-01-17 08:00:00;0,0
2016-01-17 09:00:00;0,015
2016-01-17 10:00:00;0,017
2016-01-17 11:00:00;0,016
2016-01-17 12:00:00;0,014
2016-01-17 13:00:00;0,012
2016-01-17 14:00:00;0,013
2016-01-17 15:00:00;0,014
2016-01-17 16:00:00;0,015
2016-01-17 17:00:00;0,013
2016-01-17 18:00:00;0,01
2016-01-17 19:00:00;0,0
2016-01-17 20:00:00;0,0
2016-01-17 21:00:00;0,0
2016-01-17 22:00:00;0,0
2016-01-17 23:00:00;0,0
